z,volumeWeightedAvg
3.472704499999999778e-05,9.997920517100001847e-01
1.041811450000000008e-04,9.996321581144227419e-01
1.736352500000000042e-04,9.994964863866534488e-01
2.430893500000000005e-04,9.993763271212479093e-01
3.125434500000000239e-04,9.992644120978940725e-01
3.819974999999999760e-04,9.991598219384627555e-01
4.514515499999999823e-04,9.990600571392834750e-01
5.209056500000000057e-04,9.989646530256829360e-01
5.903597499999999748e-04,9.988725789121294385e-01
6.598138500000000524e-04,9.987834735350259452e-01
7.292679500000000216e-04,9.986968374377059865e-01
7.987220499999999907e-04,9.986124020904880716e-01
8.681761499999999599e-04,9.985298854025952409e-01
9.376302500000000375e-04,9.984490936887204793e-01
1.007084149999999938e-03,9.983698474236101239e-01
1.076537999999999931e-03,9.982920053345658573e-01
1.145992499999999928e-03,9.982154417108013433e-01
1.215446999999999925e-03,9.981400543504268530e-01
1.284900999999999969e-03,9.980657503275608411e-01
1.354355000000000012e-03,9.979924501423992345e-01
1.423809000000000055e-03,9.979200833993556730e-01
1.493263000000000099e-03,9.978485878804022047e-01
1.562716999999999926e-03,9.977779079826253339e-01
1.632170999999999969e-03,9.977079938793339542e-01
1.701625000000000013e-03,9.976388006702071598e-01
1.771079000000000056e-03,9.975702877270987701e-01
1.840533000000000100e-03,9.975024180886898906e-01
1.909987500000000097e-03,9.974351571716491005e-01
1.979442000000000094e-03,9.973684758872801703e-01
2.048896000000000137e-03,9.973023449821539765e-01
2.118350000000000181e-03,9.972367382583549045e-01
2.187803999999999791e-03,9.971716315510822382e-01
2.257257999999999834e-03,9.971070025206113518e-01
2.326711999999999878e-03,9.970428303712505214e-01
2.396165999999999921e-03,9.969790958067652475e-01
2.465619999999999964e-03,9.969157807509185787e-01
2.535074000000000008e-03,9.968528683056655515e-01
2.604528000000000051e-03,9.967903426447144444e-01
2.673982499999999832e-03,9.967281880647180792e-01
2.743437000000000046e-03,9.966663923558385374e-01
2.812891000000000089e-03,9.966049415821628399e-01
2.882345000000000133e-03,9.965438234031026576e-01
2.951799000000000176e-03,9.964830261124356658e-01
3.021252999999999786e-03,9.964225386387081107e-01
3.090706999999999829e-03,9.963623505293742744e-01
3.160160999999999873e-03,9.963024518371585980e-01
3.229614999999999916e-03,9.962428332187621693e-01
3.299068999999999960e-03,9.961834857449488601e-01
3.368523000000000003e-03,9.961244009307012037e-01
3.437977499999999784e-03,9.960655698764395716e-01
3.507431999999999998e-03,9.960069864271561269e-01
3.576886000000000041e-03,9.959486424522088210e-01
3.646340000000000085e-03,9.958905308598976491e-01
3.715794000000000128e-03,9.958326449809187242e-01
3.785248000000000172e-03,9.957749783795371012e-01
3.854702000000000215e-03,9.957175249042387044e-01
3.924155999999999825e-03,9.956602786788656401e-01
3.993609999999999868e-03,9.956032340021103710e-01
4.063063999999999912e-03,9.955463854870613138e-01
4.132517999999999955e-03,9.954897278640674196e-01
4.201972499999999736e-03,9.954332553830186336e-01
4.271427000000000383e-03,9.953769647906188789e-01
4.340881000000000427e-03,9.953208506810045098e-01
4.410334999999999603e-03,9.952649086197695727e-01
4.479788999999999646e-03,9.952091342391544693e-01
4.549242999999999690e-03,9.951535233995320029e-01
4.618696999999999733e-03,9.950980720549834624e-01
4.688150999999999777e-03,9.950427763300732087e-01
4.757604999999999820e-03,9.949876325552157175e-01
4.827058999999999864e-03,9.949326371195078567e-01
4.896512999999999907e-03,9.948777865753869465e-01
4.965967499999999687e-03,9.948230767662487040e-01
5.035422000000000335e-03,9.947685059278745801e-01
5.104876000000000379e-03,9.947140701508999650e-01
5.174330000000000422e-03,9.946597663307040760e-01
5.243783999999999598e-03,9.946055915378183565e-01
5.313237999999999642e-03,9.945515428736708685e-01
5.382691999999999685e-03,9.944976176141546720e-01
5.452145999999999729e-03,9.944438130142636556e-01
5.521599999999999772e-03,9.943901264457325473e-01
5.591053999999999816e-03,9.943365553859504491e-01
5.660507999999999859e-03,9.942830972766685260e-01
5.729962499999999639e-03,9.942297490493180456e-01
5.799417000000000287e-03,9.941765098215796792e-01
5.868871000000000331e-03,9.941233766419559359e-01
5.938325000000000374e-03,9.940703472829750531e-01
6.007779000000000418e-03,9.940174195388403744e-01
6.077232999999999594e-03,9.939645913317369796e-01
6.146686999999999637e-03,9.939118605571475307e-01
6.216140999999999681e-03,9.938592252890127154e-01
6.285594999999999724e-03,9.938066836128706116e-01
6.355048999999999768e-03,9.937542336629363593e-01
6.424502999999999811e-03,9.937018736155632803e-01
6.493957499999999591e-03,9.936496009066952961e-01
6.563412000000000239e-03,9.935974152362748724e-01
6.632866000000000282e-03,9.935453141410656164e-01
6.702320000000000326e-03,9.934932959923739038e-01
6.771774000000000369e-03,9.934413592044789576e-01
6.841228000000000413e-03,9.933895021878186293e-01
6.910681999999999589e-03,9.933377234379416887e-01
6.980135999999999633e-03,9.932860213721486087e-01
7.049589999999999676e-03,9.932343945401663765e-01
7.119043999999999719e-03,9.931828414625852863e-01
7.188497999999999763e-03,9.931313607395594323e-01
7.257952500000000411e-03,9.930799503638412240e-01
7.327407000000000191e-03,9.930286103741503556e-01
7.396861000000000234e-03,9.929773388155753722e-01
7.466315000000000278e-03,9.929261343280576524e-01
7.535769000000000321e-03,9.928749956519749009e-01
7.605223000000000365e-03,9.928239215373706461e-01
7.674677000000000408e-03,9.927729107634957195e-01
7.744130999999999584e-03,9.927219622339200633e-01
7.813584999999999628e-03,9.926710747672476964e-01
7.883038999999999671e-03,9.926202472807733601e-01
7.952492999999999715e-03,9.925694786353403964e-01
8.021947499999999495e-03,9.925187670430907216e-01
8.091401999999999275e-03,9.924681128421619647e-01
8.160855999999999319e-03,9.924175142846738407e-01
8.230309999999999362e-03,9.923669704164259642e-01
8.299763999999999406e-03,9.923164802283377384e-01
8.369217999999999449e-03,9.922660427937496364e-01
8.438671999999999493e-03,9.922156571228549771e-01
8.508125999999999536e-03,9.921653222459888566e-01
8.577579999999999580e-03,9.921150372694511610e-01
8.647033999999999623e-03,9.920648012234505320e-01
8.716487999999999667e-03,9.920146133154520429e-01
8.785942499999999447e-03,9.919644720014443307e-01
8.855396999999999227e-03,9.919143778327540462e-01
